id,sub_category_id,title,price,language,size,pages,date,isbn,description,issue_number,product_image_url
1,2,PATAGONIA,16000,KOREAN,170 x 240 mm,165,2015-07-10,978-89-98415-77-8,"이본 쉬나드는 1964년 암벽등반 시 암벽을 해치지 않는 금속 못(피톤)을 제작하다, 1973년 친환경 아웃도어 의류 브랜드 파타고니아를 설립하게 됩니다. 최고의 품질을 고집하면서도 친환경 소재 개발에 매진하고 매년 매출의 1%를 사회 공헌 활동에 사용하는 등 지속 가능한 사회와 환경을 만드는 데 일조하는 파타고니아는 ‘기업의 존재 이유’를 새롭게 정의하며 관련 업계는 물론 더 나아가 사회로까지 그 영향력을 전파하고 있습니다.",38,https://dummyimage.com/1920x1440/001440/fff
2,4,PATAGONIA,16000,KOREAN,170 x 240 mm,165,2015-07-10,978-89-98415-77-8,"이본 쉬나드는 1964년 암벽등반 시 암벽을 해치지 않는 금속 못(피톤)을 제작하다, 1973년 친환경 아웃도어 의류 브랜드 파타고니아를 설립하게 됩니다. 최고의 품질을 고집하면서도 친환경 소재 개발에 매진하고 매년 매출의 1%를 사회 공헌 활동에 사용하는 등 지속 가능한 사회와 환경을 만드는 데 일조하는 파타고니아는 ‘기업의 존재 이유’를 새롭게 정의하며 관련 업계는 물론 더 나아가 사회로까지 그 영향력을 전파하고 있습니다.",38,https://dummyimage.com/1920x1440/001440/fff
3,2,NIKE,13000,KOREAN,170 x 240 mm,133,2014-03-31,978-89-98415-43-3,"나이키는 운동선수들을 위한 스포츠 의류 기업이다. 나이키는 그리스 신화에서 승리의 신인 니케를 영어로 말한 것을 뜻하며, 현재까지 사용되는 로고는 디자인을 공부하던 학생인 캐롤린 데이비슨이 육상트랙을 역동적으로 형상화한 것이다. 블루 리본 스포츠(Blue Ribbon Sports)란 이름으로 필 나이트가 처음 설립했고 1978년 공식적으로 나이키란 이름으로 바뀌었다. 이는 나이키의 정신이 그 뿌리가 육상에 있음을 알림과 동시에 나이키 그 자체가 육상 그 자체임을 나타내며, 로고의 이름은 스우시(swoosh)이다. 나이키의 미션은 '세계의 모든 운동선수들에게 영감과 혁신을 가져다 준다.",25,https://dummyimage.com/1920x1440/001440/fff
4,2,ADIDAS,18000,KOREAN,170 x 240 mm,187,2021-11-09,979-11-6036-138-4,1924년 독일 뉘른베르크 근교의 헤르초게나우라흐에서 아돌프 다슬러와 루돌프 다슬러가 신발을 만들어 판 것이 기업의 모태가 되었다. 제2차 세계 대전 종전 후 1948년 아돌프의 형 루돌프는 독립해 경쟁 회사인 푸마를 창업하였고 1949년 8월 18일 아돌프는 애칭인 아디(Adi)와 다슬러(Dassler)를 합하여 아디다스라는 이름을 짓고 상표 등록을 했다.,89,https://dummyimage.com/1920x1440/001440/fff
5,2,G-SHOCK,15000,KOREAN,170 x 240 mm,155,2019.06.07,979-11-6036-073-8,"지샥은 1983년 모회사 카시오가 처음 선보인 손목시계 브랜드입니다. 값비싼 스위스 시계와 저렴한 기타 시계 사이에서 ‘떨어뜨려도 깨지지 않는 시계’라는 의외의 장점을 내세웠습니다. 충격을 보호하는 공학적 디자인이 1990년대의 유스 컬처와 맞물리며 지샥은 세계적인 브랜드로 성장합니다. 20세기 말엽의 젊은이들이 어른이 된 지금도 지샥은 도구로의 기능과 장신구로의 완성도를 동시에 끌어올리며 진화를 거듭해왔고, 열렬한 애호가들 역시 다양한 방식으로 지샥을 즐기며 지샥이라는 거대한 문화를 가꾸고 있습니다.",77,https://dummyimage.com/1920x1440/001440/fff
6,2,CHANEL,13000,KOREAN,170 x 240 mm,130,2019-01-30,979-11-6036-056-1,"샤넬은 가브리엘 샤넬이 20세기 초 프랑스에 세운 세계적 럭셔리 기업으로, 파리 깡봉가 31번지라는 상징적 장소를 포함해 전 세계 190여 개에 달하는 패션 부티크를 두고 레디투웨어와 핸드백, 액세서리, 아이웨어부터 향수와 코스메틱, 화인 주얼리, 워치까지 다양한 범주의 제품을 선보입니다. 또한 파리에서 선보이는 오트 쿠튀르 컬렉션으로 세간의 이목을 집중시키며 아트 디렉터 칼 라거펠트의 창조적 지휘 아래 ‘궁극의 럭셔리’와 최고의 품질, 남다른 노하우를 펼치는 데 몰두하고 있습니다.",73,https://dummyimage.com/1920x1440/001440/fff
7,2,VANS,13000,KOREAN,170 x 240 mm,134,2016-02-29,978-89-98415-89-1,"오프 더 월 Off the Wall이라는 슬로건과 고유의 체커보드 패턴 슬립온으로 유명한 반스는 1970년대 초반 현대 스케이트보딩의 창시자로 불리는 토니 알바, 스테이시 페랄타 등을 위해 스케이트보더를 위한 전용 스니커즈를 개발, 출시해 상업적인 성공을 거두었습니다. 이러한 유산을 기반으로 액션 스포츠는 물론 음악과 예술, 스트리트 패션 등의 분야에서 청년 문화를 지지, 대변하며 타 스니커즈 브랜드와 차별화되는 독창적인 브랜드 아이덴티티를 구축해오고 있습니다.",44,https://dummyimage.com/1920x1440/001440/fff
8,2,MONTBLANC,15000,KOREAN,170 x 240 mm,148,2019-10-21,979-11-6036-086-8,"몽블랑은 1906년 함부르크에서 만년필 전문 제조사로 시작해 뛰어난 품질과 특유의 균형 감각으로 질 좋은 만년필을 만들어왔습니다. 만년필의 시대가 가고 볼펜의 시대가 오면서 몽블랑은 만년필의 이미지를 활용한 럭셔리 브랜드로 탈바꿈했으며, 가죽제품과 시계라는 별도의 사업 영역에도 안착했습니다. 주력 제품인 필기구의 고급스러운 이미지를 다른 상품에 이식시키는 독특한 전략은 럭셔리 제품의 유통 구조가 변하고 밀레니얼이라는 새로운 소비자층이 탄생한 2010년대에도 성공적으로 작동하고 있습니다.",80,https://dummyimage.com/1920x1440/001440/fff
9,2,A.P.C.,18000,KOREAN,170 x 240 mm,176,2019-07-22,979-11-6036-076-9,"아페쎄는 1987년 프랑스 파리에서 장 투이투가 ‘이베르 87’이라는 이름의 남성복을 선보이면서 출발한 브랜드입니다. 프랑스어로 ‘창작과 제작의 아틀리에(Atelier de Production et de Création)’라는 의미의 줄임말인 아페쎄는 유행이나 시대의 변화를 좇지 않고 품질 높은 에션셜 아이템을 만드는 것으로 독자적 미학을 구축했습니다. 일본산 셀비지 데님, 하프 문 백, 주디스 샌들 같은 아이템이 대표적으로 파리를 비롯해 도쿄, 런던, LA 등에 세계적 팬층을 형성하며 내실 있는 성장을 지속해오고 있습니다.",78,https://dummyimage.com/1920x1440/001440/fff
10,2,VIBRAM,18000,KOREAN,170 x 240 mm,132,2013-12-04,978-89-98415-33-4,"비브람은 이탈리아의 등반가 비탈레 브라마니가 등반 도중 동료의 사고사를 계기로 1937년 기능성 아웃솔을 생산하며 시작했습니다. 비브람은 인간이 신발을 신고 걷는 데 필요한 밑창의 모든 기능을 충족하겠다는 목표로 새로운 아웃솔 개발에 끊임없이 매진하고 있으며, 2005년 첫 완제품 브랜드 파이브핑거스를 성공적으로 론칭하는 등 부품 회사도 하나의 브랜드가 될 수 있음을 보여주고 있습니다.",22,https://dummyimage.com/1920x1440/001440/fff
